Fecha,Seccion,Noticia,URL,Sinopsis,autor
2024-04-25 12:03:00,Deportes,Chivas: Paunovic es buscado por estos dos equipos de la Liga MX,https://www.informador.mx/deportes/Chivas-Paunovic-es-buscado-por-estos-dos-equipos-de-la-Liga-MX-20240425-0087.html,"Hace apenas unos meses, Paunovic estuvo al mando del Guadalajara",Maria Fernanda Gomez
2024-04-25 11:59:00,México,"Huracán ""Aletta"": ¿Cuándo llega a México y qué estados serán afectados?",https://www.informador.mx/mexico/Huracan-Aletta-Cuando-llega-a-Mexico-y-que-estados-seran-afectados-20240425-0088.html,El Huracán Aletta golpearía al país en mayo,Fabián de Jesús Álvarez Delgado
2024-04-25 11:47:00,Estilo,El té que desinflama el estómago y reduce el estrés,https://www.informador.mx/estilo/Salud-El-te-que-desinflama-el-estomago-y-reduce-el-estres-20240425-0086.html,"Se elabora con una planta que puedes cultivar en macetas o en el jardín, y es útil por sus beneficios para nuestra salud, por lo que resulta atractivo contar con esta en casa",Oralia F. López
2024-04-25 11:43:00,Jalisco,Investigan muerte de cuatro personas en Encarnación de Díaz,https://www.informador.mx/jalisco/Seguridad-en-Jalisco-Investigan-muerte-de-cuatro-personas-en-Encarnacion-de-Diaz-20240425-0082.html,"Hasta el momento, la autoridad desconoce el género de las personas encontradas",Jessica Padilla
2024-04-25 11:40:00,Ideas |,"El Presidente ""no da una""",https://www.informador.mx/ideas/El-Presidente-no-da-una-20240425-0083.html,,Daniel Rodríguez
2024-04-25 11:29:00,Entretenimiento,"Este k-drama revivió el chisme de ""Las lavanderas""",https://www.informador.mx/entretenimiento/Prime-video-Este-k-drama-revivio-el-chisme-de-Las-lavanderas-20240425-0081.html,"¿Lo recuerdas? Pues ahora lo puedes ver en streaming, según esta youtuber",Oscar Eduardo Bravo Gutiérrez
2024-04-25 11:29:00,Jalisco,Estas son las actividades de la Fiesta de las niñas y niños en Zapopan,https://www.informador.mx/jalisco/Dia-de-la-Ninez-Estas-son-las-actividades-de-la-Fiesta-de-las-ninas-y-ninos-en-Zapopan-20240425-0079.html,Este festejo será el sábado 27 y domingo 28 de abril,El Informador
2024-04-25 11:19:00,Deportes,"Xavi explica por qué se queda en el Barcelona, ""rectificar es de sabios""",https://www.informador.mx/deportes/Xavi-explica-por-que-se-queda-en-el-Barcelona-rectificar-es-de-sabios-20240425-0080.html,"El técnico renunció en enero pasado, aun cuando tenía contrato hasta junio de 2025",EFE
2024-04-25 11:07:00,Economía,La razón por la que bancos en México no abrirán el próximo miércoles,https://www.informador.mx/economia/Puente-mayo-2024-La-razon-por-la-que-bancos-en-Mexico-no-abriran-el-proximo-miercoles-20240425-0078.html,Será hasta el jueves 2 de mayo que se reanuden las operaciones de manera normal,SUN .
2024-04-25 11:01:00,México,INE no busca garantizar el derecho al voto en el extranjero: López Obrador,https://www.informador.mx/mexico/AMLO-INE-no-busca-garantizar-el-derecho-al-voto-en-el-extranjero-20240425-0076.html,"El Presidente Andrés Manuel López Obrador señaló que al Instituto Nacional Electoral (INE) ""no le importa” garantizar el derecho al voto de los mexicanos en el extranjero",SUN .
2024-04-25 10:05:00,Internacional,"Renuncia el primer ministro de Haití, Ariel Henry",https://www.informador.mx/internacional/Haiti-Renuncia-el-primer-ministro-Ariel-Henry-20240425-0075.html,Había prometido dimitir una vez que se instalara el consejo y se seleccionara un nuevo primer ministro; esto es lo que se sabe,AP .
2024-04-25 10:05:00,México,López Obrador cuestiona la represión de EU contra manifestantes,https://www.informador.mx/mexico/AMLO-cuestiona-la-represion-de-EU-contra-manifestantes-a-favor-de-Palestina-20240425-0066.html,"El Presidente de México, Andrés Manuel López Obrador, cuestionó los sometimientos de las autoridades estadounidenses hacia estudiantes que se manifestan a favor de Palestina",EFE
2024-04-25 09:57:00,México,"Así es como López Obrador ""ha buscado acuerdos"" con grupos criminales de la frontera sur",https://www.informador.mx/mexico/AMLO-Asi-es-como-el-Presidente-ha-buscado-acuerdos-con-grupos-criminales-de-la-frontera-sur-20240425-0073.html,López Obrador respondió a preguntas de la prensa sobre si la Segob hace algo para dialogar con estos grupos en Chiapas,EFE
2024-04-25 09:52:00,México,Camioneta choca por esquivar a cocodrilo en Sinaloa; reportan muertos,https://www.informador.mx/mexico/Sinaloa-Camioneta-choca-por-esquivar-a-cocodrilo-en-El-Dorado-reportan-muertos-20240425-0074.html,El vehículo en el que viajaban 7 personas terminó estrellándose contra un árbol,SUN .
2024-04-25 09:47:00,Entretenimiento,Coachella fue multado por presentación de Lana del Rey,https://www.informador.mx/entretenimiento/Coachella-fue-multado-por-presentacion-de-Lana-del-Rey-20240425-0070.html,El festival de California recibió una infracción por superar el límite de tiempo,El Informador
2024-04-25 09:44:00,Deportes,Adrian Newey dejaría Red Bull y estos equipos podrían ser su destino,https://www.informador.mx/deportes/F1-Adrian-Newey-dejaria-Red-Bull-y-estos-equipos-podrian-ser-su-destino-20240425-0071.html,Es reconocido dentro de la F1 como el cerebro detrás del éxito de Red Bull,Oralia F. López
2024-04-25 09:39:00,Estilo,Puedes hacer esto para que tu cerebro no envejezca pronto,https://www.informador.mx/estilo/Salud-Puedes-hacer-esto-para-que-tu-cerebro-envejezca-pronto-20240425-0068.html,"El cerebro, como cualquier otro órgano, no es inmune al correr de los años",Óscar Ernesto Álvarez Gutiérrez
2024-04-25 09:33:00,Economía,CFE: Esta es la temperatura que debe tener tu aire acondicionado para gastar menos luz,https://www.informador.mx/economia/CFE-Esta-es-la-temperatura-que-debe-tener-tu-aire-acondicionado-para-gastar-menos-luz-20240425-0067.html,La zona donde decidas colocar tu aire acondicionado debe tener un correcto aislamiento térmico,El Informador
2024-04-25 09:30:00,México,"¡Adiós a las ""mañaneras""! López Obrador anuncia cuándo será la última",https://www.informador.mx/mexico/Adios-a-las-mananeras-Lopez-Obrador-anuncia-cuando-sera-la-ultima-20240425-0069.html,"El Presidente López Obrador informó sobre la fecha en la que dará su última conferencia matutina, o la famosa “mañanera”",NotiPress .
2024-04-25 09:15:00,Tecnología,"""Mira entre la T y la O en tu teclado""; ¿Cuál es el significado de este trend?",https://www.informador.mx/tecnologia/Mira-entre-la-T-y-la-O-en-tu-teclado-Cual-es-el-significado-de-este-trend-20240425-0060.html,¿Ya te cruzaste con este trend en redes sociales y no sabes lo que significa? Aquí te lo explicamos todo,SUN .
